ArraySize,BruteForce,MergeAlgo
100,0.000024,0.000010
110,0.000023,0.000009
120,0.000026,0.000010
130,0.000031,0.000010
140,0.000034,0.000012
150,0.000036,0.000011
160,0.000043,0.000012
170,0.000049,0.000014
180,0.000051,0.000013
190,0.000057,0.000014
200,0.000063,0.000015
210,0.000069,0.000016
220,0.000076,0.000017
230,0.000083,0.000017
240,0.000093,0.000018
250,0.000094,0.000020
260,0.000106,0.000020
270,0.000113,0.000021
280,0.000120,0.000023
290,0.000129,0.000023
300,0.000133,0.000024
310,0.000147,0.000025
320,0.000155,0.000026
330,0.000165,0.000026
340,0.000173,0.000027
350,0.000186,0.000028
360,0.000199,0.000030
370,0.000205,0.000030
380,0.000215,0.000032
390,0.000226,0.000032
400,0.000236,0.000034
410,0.000246,0.000035
420,0.000261,0.000035
430,0.000273,0.000037
440,0.000296,0.000037
450,0.000302,0.000037
460,0.000314,0.000040
470,0.000359,0.000043
480,0.000369,0.000043
490,0.000388,0.000044
500,0.000385,0.000045
510,0.000423,0.000046
520,0.000426,0.000047
530,0.000461,0.000050
540,0.000467,0.000050
550,0.000573,0.000068
560,0.000672,0.000071
570,0.000565,0.000054
580,0.000540,0.000055
590,0.000563,0.000055
600,0.000575,0.000061
610,0.000691,0.000059
620,0.000616,0.000059
630,0.000627,0.000060
640,0.000654,0.000060
650,0.000682,0.000061
660,0.000726,0.000072
670,0.000781,0.000070
680,0.000800,0.000072
690,0.000803,0.000072
700,0.000847,0.000072
710,0.000923,0.000085
720,0.000969,0.000078
730,0.000939,0.000075
740,0.000964,0.000086
750,0.001087,0.000080
760,0.001073,0.000079
770,0.001039,0.000080
780,0.001074,0.000082
790,0.001105,0.000085
800,0.001138,0.000095
810,0.001158,0.000087
820,0.001182,0.000088
830,0.001189,0.000084
840,0.001167,0.000083
850,0.001174,0.000084
860,0.001212,0.000085
870,0.001234,0.000086
880,0.001269,0.000086
890,0.001241,0.000082
900,0.001289,0.000084
910,0.001283,0.000085
920,0.001317,0.000086
930,0.001329,0.000086
940,0.001361,0.000087
950,0.001413,0.000089
960,0.001365,0.000083
970,0.001375,0.000084
980,0.001400,0.000084
990,0.001460,0.000085
1000,0.001457,0.000086
